DrugID,DiseaseID
DB00531,MESH:D000505
DB01143,MESH:D000505
DB00900,MESH:D000505
DB00864,MESH:D000505
DB01065,MESH:D000505
DB00635,MESH:D000505
DB00361,MESH:D000505
DB00997,MESH:D000505
DB00196,MESH:D000505
DB04839,MESH:D000505
DB00783,MESH:D000505
DB00175,MESH:D000505
DB00445,MESH:D000505
DB00773,MESH:D000505
DB00541,MESH:D000505
DB01030,MESH:D000505
DB00661,MESH:D000505
DB00649,MESH:D000505
DB01593,MESH:D000505
DB00570,MESH:D000505
DB00860,MESH:D000506
DB00959,MESH:D000506
DB14509,MESH:D000506
DB00635,MESH:D000506
DB00687,MESH:D000506
DB00350,MESH:D000506
DB00741,MESH:D000506
DB00907,MESH:D000542
DB00175,MESH:D000542
DB01118,MESH:D000542
DB01043,MESH:D000544
DB09130,MESH:D000544
DB00158,MESH:D000544
DB00482,MESH:D000544
DB00494,MESH:D000544
DB00850,MESH:D000544
DB01394,MESH:D000544
DB09131,MESH:D000544
DB00206,MESH:D000544
DB01593,MESH:D000544
DB02709,MESH:D000544
DB00412,MESH:D000544
DB00176,MESH:D000544
DB00656,MESH:D000544
DB00683,MESH:D000544
DB11672,MESH:D000544
DB12129,MESH:D000544
DB00975,MESH:D000544
DB00014,MESH:D000544
DB00934,MESH:D000544
DB00428,MESH:D000544
DB00843,MESH:D000544
DB00435,MESH:D000544
DB00184,MESH:D000544
DB00834,MESH:D000544
DB01017,MESH:D000544
DB00502,MESH:D000544
DB00981,MESH:D000544
DB11081,MESH:D000544
DB00715,MESH:D000544
DB00627,MESH:D000544
DB00674,MESH:D000544
DB00960,MESH:D000544
DB00481,MESH:D000544
DB01618,MESH:D000544
DB04864,MESH:D000544
DB01065,MESH:D000544
DB00679,MESH:D000544
DB01592,MESH:D000544
DB01050,MESH:D000544
DB00115,MESH:D000544
DB00746,MESH:D000544
DB00989,MESH:D000544
DB00328,MESH:D000544
DB01356,MESH:D000544
DB00382,MESH:D000544
DB00323,MESH:D000544
DB00246,MESH:D000568
DB00864,MESH:D000568
DB00977,MESH:D000568
DB06288,MESH:D000568
DB01104,MESH:D000568
DB00968,MESH:D000568
DB00603,MESH:D000568
DB01233,MESH:D000568
DB00334,MESH:D000568
DB01234,MESH:D000568
DB01204,MESH:D000568
DB00391,MESH:D000568
DB00734,MESH:D000568
DB00850,MESH:D000568
DB00285,MESH:D000568
DB01041,MESH:D000568
DB00531,MESH:D000568
DB00294,MESH:D000568
DB00367,MESH:D000568
DB00304,MESH:D000568
DB01200,MESH:D000568
DB00334,MESH:D000647
DB00652,MESH:D000647
DB00312,MESH:D000647
DB01576,MESH:D000647
DB00783,MESH:D000647
DB00458,MESH:D000647
DB00184,MESH:D000647
DB01234,MESH:D000647
DB00829,MESH:D000647
DB01075,MESH:D000647
DB00370,MESH:D000647
DB00457,MESH:D000647
DB00806,MESH:D000647
DB00176,MESH:D000647
DB00747,MESH:D000647
DB00843,MESH:D000647
DB00575,MESH:D000647
DB01356,MESH:D000647
DB01183,MESH:D000647
DB01221,MESH:D000647
DB00388,MESH:D000647
DB00674,MESH:D000647
DB00144,MESH:D000647
DB00898,MESH:D000647
DB00321,MESH:D000647
DB00395,MESH:D000647
DB00981,MESH:D000647
DB00608,MESH:D000647
DB01544,MESH:D000647
DB00371,MESH:D000647
DB00228,MESH:D000647
DB00699,MESH:D000647
DB00714,MESH:D000647
DB00454,MESH:D000647
DB00818,MESH:D000647
DB00897,MESH:D000647
DB00850,MESH:D000647
DB01065,MESH:D000647
DB00586,MESH:D000647
DB00661,MESH:D000647
DB01236,MESH:D000647
DB09282,MESH:D000647
DB00393,MESH:D000647
DB00422,MESH:D000647
DB00185,MESH:D000647
DB00404,MESH:D000647
DB00624,MESH:D000647
DB01092,MESH:D000647
DB01223,MESH:D000647
DB00295,MESH:D000647
DB00474,MESH:D000647
DB00186,MESH:D000647
DB00475,MESH:D000647
DB00561,MESH:D000647
DB01394,MESH:D000647
DB00338,MESH:D000647
DB01115,MESH:D000647
DB01164,MESH:D000647
DB00571,MESH:D000647
DB00382,MESH:D000647
DB01392,MESH:D000647
DB00202,MESH:D000647
DB01156,MESH:D000647
DB00182,MESH:D000647
DB00122,MESH:D000647
DB00668,MESH:D000647
DB00572,MESH:D000647
DB01043,MESH:D000647
DB00753,MESH:D000647
DB04841,MESH:D000647
DB00368,MESH:D000647
DB01202,MESH:D000647
DB00252,MESH:D000647
DB00657,MESH:D000647
DB01400,MESH:D000647
DB13345,MESH:D000647
DB00231,MESH:D000647
DB00425,MESH:D000647
DB01205,MESH:D000647
DB00813,MESH:D000647
DB00126,MESH:D000647
DB00181,MESH:D000647
DB00343,MESH:D000647
DB00683,MESH:D000647
DB00502,MESH:D000647
DB00804,MESH:D000647
DB00260,MESH:D000647
DB00391,MESH:D000647
DB00989,MESH:D000647
DB04599,MESH:D000647
DB11672,MESH:D000647
DB00629,MESH:D000647
DB03088,MESH:D000647
DB01165,MESH:D000647
DB00683,MESH:D000648
DB00313,MESH:D000648
DB00959,MESH:D000648
DB01156,MESH:D000648
DB01234,MESH:D000648
DB00829,MESH:D000648
DB00466,MESH:D000648
DB00818,MESH:D000648
DB00203,MESH:D000648
DB00747,MESH:D000648
DB00571,MESH:D000648
DB01394,MESH:D000686
DB01223,MESH:D000686
DB00255,MESH:D000686
DB00871,MESH:D000686
DB00842,MESH:D000686
DB00412,MESH:D000686
DB00235,MESH:D000686
DB00252,MESH:D000686
DB00331,MESH:D000686
DB01373,MESH:D000690
DB01041,MESH:D000690
DB00540,MESH:D000690
DB09130,MESH:D000690
DB00470,MESH:D000690
DB00480,MESH:D000690
DB01200,MESH:D000690
DB01065,MESH:D000690
DB01069,MESH:D000690
DB11081,MESH:D000690
DB01017,MESH:D000690
DB02709,MESH:D000690
DB01356,MESH:D000690
DB01235,MESH:D000690
DB00740,MESH:D000690
DB00321,MESH:D000690
DB01003,MESH:D000707
DB01176,MESH:D000707
DB00827,MESH:D000707
DB00892,MESH:D000707
DB00456,MESH:D000707
DB00244,MESH:D000707
DB01167,MESH:D000707
DB00626,MESH:D000707
DB00295,MESH:D000707
DB00727,MESH:D000707
DB01114,MESH:D000707
DB00283,MESH:D000707
DB00448,MESH:D000707
DB00605,MESH:D000707
DB02709,MESH:D000707
DB00586,MESH:D000707
DB00338,MESH:D000707
DB00290,MESH:D000707
DB00678,MESH:D000707
DB00668,MESH:D000707
DB00907,MESH:D000707
DB01026,MESH:D000707
DB00759,MESH:D000707
DB00202,MESH:D000707
DB01082,MESH:D000707
DB00741,MESH:D000707
DB00833,MESH:D000707
DB00482,MESH:D000707
DB00373,MESH:D000707
DB00563,MESH:D000707
DB00818,MESH:D000707
DB00246,MESH:D000707
DB00541,MESH:D000707
DB01110,MESH:D000707
DB00565,MESH:D000707
DB00444,MESH:D000707
DB00578,MESH:D000707
DB06151,MESH:D000707
DB01339,MESH:D000707
DB00951,MESH:D000707
DB01181,MESH:D000707
DB01045,MESH:D000707
DB00709,MESH:D000707
DB01212,MESH:D000707
DB00330,MESH:D000707
DB00200,MESH:D000707
DB01284,MESH:D000707
DB01337,MESH:D000707
DB00795,MESH:D000707
DB00813,MESH:D000707
DB01331,MESH:D000707
DB00483,MESH:D000707
DB00415,MESH:D000707
DB01053,MESH:D000707
DB00635,MESH:D000707
DB00493,MESH:D000707
DB00441,MESH:D000707
DB01183,MESH:D000707
DB00372,MESH:D000707
DB01248,MESH:D000707
DB01001,MESH:D000707
DB00599,MESH:D000707
DB00945,MESH:D000707
DB06774,MESH:D000707
DB00316,MESH:D000707
DB00501,MESH:D000707
DB00927,MESH:D000707
DB00768,MESH:D000707
DB00443,MESH:D000707
DB00328,MESH:D000707
DB00728,MESH:D000707
DB01229,MESH:D000707
DB00281,MESH:D000707
DB01050,MESH:D000707
DB01060,MESH:D000707
DB00115,MESH:D000707
DB01112,MESH:D000707
DB00732,MESH:D000707
DB00975,MESH:D000707
DB00437,MESH:D000707
DB00446,MESH:D000740
DB01065,MESH:D000740
DB00007,MESH:D000740
DB01373,MESH:D000740
DB00431,MESH:D000740
DB00091,MESH:D000740
DB01005,MESH:D000740
DB00281,MESH:D000740
DB11136,MESH:D000740
DB00709,MESH:D000740
